abfrage_datum,hinflug,rueckflug,reisedauer_tage,preis_pro_person_eur,airline,anzahl_zwischenstopps,hinweis
2026-07-24 13:43:04,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-24 13:44:36,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-24 13:49:42,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-25 05:40:21,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-25 10:54:01,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-26 11:10:05,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-26 11:26:13,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-27 15:56:24,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-28 12:24:59,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-07-29 13:07:51,2027-02-03,2027-02-28,24,809,EY,1,1 Zwischenstopp(e)
2026-08-06 11:09:35,MUC,2027-03-31,2027-04-21,20,1113,EK,1,1 Zwischenstopp(e)
2026-08-06 12:30:46,MUC,2027-03-31,2027-04-21,20,1113,EK,1,1 Zwischenstopp(e)
2026-08-07 09:36:03,MUC,2027-03-31,2027-04-21,20,1113,EK,1,1 Zwischenstopp(e)
2026-08-08 08:06:04,MUC,2027-03-31,2027-04-21,20,1113,EK,1,1 Zwischenstopp(e)
2026-08-09 08:09:27,MUC,2027-05-25,2027-06-15,20,818,EY,1,1 Zwischenstopp(e)
2026-08-10 10:40:06,FRA,2026-08-12,2026-09-02,21,941,QR,1,1 Zwischenstopp(e)
2026-08-11 09:34:48,FRA,2026-08-12,2026-09-02,21,941,QR,1,1 Zwischenstopp(e)
2026-08-12 09:46:50,FRA,2026-08-12,2026-09-02,20,988,QR,1,1 Zwischenstopp(e)
2026-08-13 09:46:59,MUC,2027-05-02,2027-05-23,20,1052,EK,1,1 Zwischenstopp(e)
2026-08-13 09:46:59,FRA,2026-09-12,2026-10-03,20,779,AL,3,3 Zwischenstopp(e)
2026-08-14 09:41:36,MUC,2027-05-02,2027-05-23,20,1052,EK,1,1 Zwischenstopp(e)
2026-08-14 09:41:36,FRA,2026-09-12,2026-10-03,20,779,AL,3,3 Zwischenstopp(e)
2026-08-15 07:18:35,MUC,2027-05-02,2027-05-23,20,1052,EK,1,1 Zwischenstopp(e)
2026-08-15 07:18:35,FRA,2026-09-12,2026-10-03,20,827,AI,1,1 Zwischenstopp(e)
2026-08-16 07:44:09,MUC,2027-05-02,2027-05-23,20,1052,EK,1,1 Zwischenstopp(e)
2026-08-16 07:44:09,FRA,2026-09-12,2026-10-03,20,827,AI,1,1 Zwischenstopp(e)
2026-08-17 08:07:36,MUC,2027-05-02,2027-05-23,20,1052,EK,1,1 Zwischenstopp(e)
2026-08-17 08:07:36,FRA,2026-09-12,2026-10-03,20,827,AI,1,1 Zwischenstopp(e)
2026-08-18 07:58:02,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-18 07:58:02,FRA,2026-09-12,2026-10-03,20,827,AI,1,1 Zwischenstopp(e)
2026-08-19 07:57:58,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-19 07:57:58,FRA,2026-09-12,2026-10-03,20,750,MW,3,3 Zwischenstopp(e)
2026-08-20 08:04:25,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-20 08:04:25,FRA,2026-09-12,2026-10-03,20,750,MW,3,3 Zwischenstopp(e)
2026-08-21 08:03:57,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-21 08:03:57,FRA,2026-09-12,2026-10-03,20,750,MW,3,3 Zwischenstopp(e)
2026-08-22 07:45:25,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-22 07:45:25,FRA,2026-09-12,2026-10-03,20,750,MW,3,3 Zwischenstopp(e)
2026-08-23 07:47:40,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-24 08:26:24,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-25 06:39:59,MUC,2027-07-15,2027-08-05,20,913,EK,1,1 Zwischenstopp(e)
2026-08-26 06:41:26,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-08-26 06:41:26,MUC,2026-10-24,2026-11-14,20,1030,PC,2,2 Zwischenstopp(e)
2026-08-27 17:16:58,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-08-27 17:16:58,MUC,2026-10-24,2026-11-14,20,1030,PC,2,2 Zwischenstopp(e)
2026-08-28 18:09:22,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-08-28 18:09:22,MUC,2026-10-24,2026-11-14,20,1030,PC,2,2 Zwischenstopp(e)
2026-08-29 12:13:52,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-08-29 12:13:52,MUC,2026-10-24,2026-11-14,20,1030,PC,2,2 Zwischenstopp(e)
2026-08-30 11:10:56,MUC,2027-08-01,2027-08-22,20,1015,QR,1,1 Zwischenstopp(e)
2026-08-30 11:10:56,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-08-31 12:36:11,MUC,2027-08-01,2027-08-22,20,1015,QR,1,1 Zwischenstopp(e)
2026-08-31 12:36:11,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-09-01 11:02:18,MUC,2027-08-01,2027-08-22,20,1015,QR,1,1 Zwischenstopp(e)
2026-09-01 11:02:18,FRA,2027-01-18,2027-02-08,20,864,EY,1,1 Zwischenstopp(e)
2026-09-02 10:33:20,MUC,2027-08-01,2027-08-22,20,1015,QR,1,1 Zwischenstopp(e)
2026-09-02 10:33:20,FRA,2026-10-24,2026-11-14,20,910,TK,3,3 Zwischenstopp(e)
